id,from,to,type,comment
N1,(?i)\bv\.?\s*Chr\.?(?=\s|$),v. Chr.,normalization,normalize BCE abbreviation variants
N2,(?i)\bn\.?\s*Chr\.?(?=\s|$),n. Chr.,normalization,normalize CE abbreviation variants
N3,(?i)\bMio\.?(?=\s|$),Mio.,normalization,normalize million abbreviation variants
N4,(?i)\bMillion(?:en)?(?=\s|$),Mio.,normalization,normalize million word variants
N5,(?i)\bMrd\.?(?=\s|$),Mrd.,normalization,normalize milliard abbreviation variants
N6,(?i)\bMilliard(?:e|en)(?=\s|$),Mrd.,normalization,normalize milliard word variants
N7,(?i)\bBill\.?(?=\s|$),Billionen,normalization,normalize billion abbreviation variants
N8,(?i)\bBillion(?:en)?(?=\s|$),Billionen,normalization,normalize billion word variants
N9,"(?i)\b(?:Band|Bd\.|Bd|Nummer|Nr\.|Nr|Teil)\s+\d{1,3}\b",,normalization,strip volume/number annotations before dates (e.g. 'Bd. 1 1950' -> '1950'; 'Nr. 3 1960' -> '1960')
N10,[\-\u2010\u2011\u2012\u2013\u2014\u2015\u2212\uFE58\uFE63\uFF0D]+,-,normalization,Normalizes all Unicode dash and minus characters to a standard ASCII hyphen-minus (-).
N11,(?i)\bterminus\s+post\s+quem\b,ab,normalization,normalize formal earliest-date marker 'terminus post quem' to canonical form 'ab'
N12,(?i)\bt\.\s*p\.\s*q\.(?=\s|\z),ab,normalization,normalize abbreviation 't. p. q.' to canonical form 'ab'
N13,(?i)\btpq\b,ab,normalization,normalize abbreviation 'TPQ' to canonical form 'ab'
N14,(?i)\bpost\s+quem\b,ab,normalization,normalize formal marker 'post quem' to canonical form 'ab'
N15,(?i)\bterminus\s+ante\s+quem\b,bis,normalization,normalize formal latest-date marker 'terminus ante quem' to canonical form 'bis'
N16,(?i)\bt\.\s*a\.\s*q\.(?=\s|\z),bis,normalization,normalize abbreviation 't. a. q.' to canonical form 'bis'
N17,(?i)\btaq\b,bis,normalization,normalize abbreviation 'TAQ' to canonical form 'bis'
N18,(?i)\bante\s+quem\b,bis,normalization,normalize formal marker 'ante quem' to canonical form 'bis'
N19,(?i)\bnicht\s+früher\s+als\b,ab,normalization,normalize phrase 'nicht früher als' to canonical form 'ab'
N20,(?i)\bnicht\s+vor\b,ab,normalization,normalize phrase 'nicht vor' to canonical form 'ab' because it means not earlier than
N21,(?i)\bnicht\s+später\s+als\b,bis,normalization,normalize phrase 'nicht später als' to canonical form 'bis'
N22,(?i)\bnicht\s+nach\b,bis,normalization,normalize phrase 'nicht nach' to canonical form 'bis' because it means not later than
N23,(?i)\bbis\s+vor\b,vor,normalization,normalize phrase 'bis vor' to canonical form 'vor'
N24,(?i)\b(?:noch|bereits)\s+vor\b,vor,normalization,normalize emphasized before-date phrase to canonical form 'vor'
N25,(?i)\berst\s+nach\b,nach,normalization,normalize emphasized after-date phrase 'erst nach' to canonical form 'nach'
N26,(?i)\bnicht\s+eindeutig\b,vermutlich,normalization,normalize uncertainty phrase 'nicht eindeutig' to canonical form 'vermutlich'
N27,(?i)\bnicht\s+gesichert\b,vermutlich,normalization,normalize uncertainty phrase 'nicht gesichert' to canonical form 'vermutlich'
N28,(?i)\bfrühestens\b,ab,normalization,normalize earliest-date marker 'frühestens' to canonical form 'ab'
