id,inputMask,inputPattern,outputMask,outputPattern
R1,#### ?,JJJJ ?,um ####,um JJJJ
R2,####-####/####,JJJJ-ZZZZ/YYYY,"####/####,####","JJJJ/ZZZZ,YYYY"
R3,####/###,JJJJ/ZZZ,####/####,JJJJ/JZZZ
R4,####/#### + ####,JJJJ/ZZZZ + YYYY,"####/####,####","JJJJ/ZZZZ,YYYY"
R5,###?,JJJ?,###0/###9,JJJ0/JJJ9
R6,##??,JJ??,##00/##99,JJ00/JJ99
R7,- ####/####,- JJJJ/ZZZZ,bis ####,bis ZZZZ
R8,#,J,000#,000J
R9,-#,-J,-000#,-000J
R10,##,JJ,00##,00JJ
R11,-##,-JJ,-00##,-00JJ
R12,## A (####),NN A (JJJJ),####,JJJJ
R13,## A (####.##.##),## A (JJJJ.MM.TT),####-##-##,JJJJ-MM-TT
R14,###,JJJ,0###,0JJJ
R15,-###,-JJJ,-0###,-0JJJ
R16,### MM,JJJ MM,0###-##,0JJJ-MM
R17,### MM #,JJJ MM T,0###-##-0#,0JJJ-MM-0T
R18,### MM # - ### MM ##,JJJ MM T - ZZZ YY XX,0###-##-0#/0###-##-##,0JJJ-MM-0T/0ZZZ-YY-XX
R19,### MM ##,JJJ MM TT,0###-##-##,0JJJ-MM-TT
R20,### MM [vor ##],JJJ MM [vor TT],vor 0###-##-##,vor 0JJJ-MM-TT
R21,####-,JJJJ-,ab ####,ab JJJJ
R22,#### -,JJJJ -,ab ####,ab JJJJ
R23,#### - #,JJJJ - N,####,JJJJ
R24,#### - ##,JJJJ - ZZ,####,JJJJ
R25,#### - ## - ##,JJJJ - ZZ - VV,####,JJJJ
R26,#### - ####,JJJJ - ZZZZ,####/####,JJJJ/ZZZZ
R27,#### ? ####,JJJJ ? ZZZZ,####/####,JJJJ/ZZZZ
R28,"#### ? ####, ####","JJJJ ? ZZZZ, XXXX",####/####,JJJJ/XXXX
R29,#### - ##. ####,JJJJ - NN. ZZZZ,####/####,JJJJ/ZZZZ
R30,#### ####,JJJJ ZZZZ,####,JJJJ
R31,#### (####),JJJJ (ZZZZ),####,JJJJ
R32,#### (####/##) Aufnahme,JJJJ (ZZZZ/YY) Aufnahme,####/####,ZZZZ/ZZYY
R33,#### (####/##) Erstausgabe,JJJJ (ZZZZ/YY) Erstausgabe,####/####,ZZZZ/ZZYY
R34,#### (####/##) Erstdruck,JJJJ (ZZZZ/YY) Erstdruck,####/####,ZZZZ/ZZYY
R35,#### (####a),JJJJ (ZZZZa),####,JJJJ
R36,#### (####c),JJJJ (ZZZZc),####,JJJJ
R37,#### (##.#.####),ZZZZ (TT.M.JJJJ),####-0#-##,JJJJ-0M-TT
R38,#### (?),JJJJ (?),um ####,um JJJJ
R39,#### (ca.),JJJJ (ca.),um ####,um JJJJ
R40,#### (nach),JJJJ (nach),nach ####,nach JJJJ
R41,#### (Nachtr. ####),JJJJ (Nachtr. ZZZZ),####,JJJJ
R42,#### (Nachtrag ####/##),JJJJ (Nachtrag ZZZZ/XX),####,JJJJ
R43,#### (Original),JJJJ (Original),####,JJJJ
R44,#### (um),JJJJ (um),um ####,um JJJJ
R45,#### (vor),JJJJ (vor),vor ####,vor JJJJ
R46,#### / #### (?),JJJJ / ZZZZ (?),"um ####/####","um JJJJ/ZZZZ"
R47,#### [### H],JJJJ [ZZZ H],####,JJJJ
R48,#### [####],ZZZZ [JJJJ],####,JJJJ
R49,#### [erschienen ####],JJJJ [erschienen ZZZZ],####,JJJJ
R50,#### [erschienen ca. ####],JJJJ [erschienen ca. ZZZZ],####,JJJJ
R51,#### [erschienen] ####,JJJJ [erschienen] ZZZZ,####,JJJJ
R52,#### [i. e. ####],ZZZZ [i. e. JJJJ],####,JJJJ
R53,#### [i.e. ####],JJJJ [i.e. ZZZZ],####,ZZZZ
R54,#### [nach ##.##.],JJJJ [nach MM.TT.],nach ####-##-##,nach JJJJ-MM-TT
R55,#### [nicht nach ##.##.],JJJJ [nicht nach MM.TT.],vor ####-##-##,vor JJJJ-MM-TT
R56,#### = ### [jüd. Zeit],JJJJ = ZZZ [jüd. Zeit],####,JJJJ
R57,#### = ####,JJJJ = ZZZZ,####,JJJJ
R58,#### = #### [jüd. Zeit],JJJJ = ZZZZ [jüd. Zeit],####,JJJJ
R59,#### = #### h.,JJJJ = ZZZZ h.,####,JJJJ
R60,#### = IV [Franz. Revolution],JJJJ = IV [Franz. Revolution],####,JJJJ
R61,#### = X [Franz. Revolution],JJJJ = X [Franz. Revolution],####,JJJJ
R62,#### ca.,JJJJ ca.,um ####,um JJJJ
R63,#### ff.,JJJJ ff.,nach ####,nach JJJJ
R64,#### MM,JJJJ MM,####-##,JJJJ-MM
R65,#### MM #,JJJJ MM T,####-##-0#,JJJJ-MM-0T
R66,#### MM # / #### MM ##,JJJJ MM T / ZZZZ YY XX,"####-##-0#,####-##-##","JJJJ-MM-0T,ZZZZ-YY-XX"
R67,#### MM ##,JJJJ MM TT,####-##-##,JJJJ-MM-TT
R68,#### MM ## / ##,JJJJ MM TT / ZZ,"####-##-##,####-##-##","JJJJ-MM-TT,JJJJ-MM-ZZ"
R69,#### nachgewiesen,JJJJ nachgewiesen,####,JJJJ
R70,#### u. ff.,JJJJ u. ff.,nach ####,nach JJJJ
R71,#### u.####,JJJJ u.ZZZZ,"####,####","JJJJ,ZZZZ"
R72,####-##,JJJJ-ZZ,####,JJJJ
R73,####-##-##,JJJJ-MM-TT,####-##-##,JJJJ-MM-TT
R74,####-#### (####-####),JJJJ-ZZZZ (NNNN-OOOO),####/####,JJJJ/ZZZZ
