input mask,input pattern,input example,tokenized example,output mask,output pattern,output example,output example ISO
"#### ?",JJJJ ?,1923 ?,1923 ?,ca. ####,ca. JJJJ,ca. 1923,1922-01-01/1924-12-31
"####-####/####",JJJJ-ZZZZ/YYYY,1944-1945/1949,1944-1945/1949,"####/####,####","JJJJ/ZZZZ,YYYY","1944/1945,1949",
"####/###",JJJJ/ZZZ,2005/006,2005/006,"####/####",JJJJ/JZZZ,2005/2006,2005-01-01/2006-12-31
"####/#### + ####",JJJJ/ZZZZ + YYYY,1965/1966 + 2009,1965/1966 + 2009,"####/####,####","JJJJ/ZZZZ,YYYY","1965/1966,2009",
"###?",JJJ?,192?,192?,"###0/###9",JJJ0/JJJ9,1920/1929,1920-01-01/1929-12-31
"##??",JJ??,19??,19??,"##00/##99",JJ00/JJ99,1900/1999,1900-01-01/1999-12-31
- ####/####,- JJJJ/ZZZZ,- 2002/2003,- 2002/2003,bis ####,bis ZZZZ,bis 2003,2002-01-01/2003-12-31
"#",J,5,5,000#,000J,0005,0005-01-01/0005-12-31
-#,-J,-5,-5,-000#,-000J,-0005,-0004-01-01/-0004-12-31
"##",JJ,68,68,00##,00JJ,0068,0068-01-01/0068-12-31
-##,-JJ,-68,-68,-00##,-00JJ,-0068,-0067-01-01/-0067-12-31
"## A (####)",NN A (JJJJ),61 A (1937),61 A (1937),"####",JJJJ,1937,1937-01-01/1937-12-31
"## A (####.##.##)","## A (JJJJ.MM.TT)",61 A (1515.07.25),61 A (1515.07.25),"####-##-##",JJJJ-MM-TT,1515-07-25,1515-07-25/1515-07-25
"###",JJJ,753,753,0###,0JJJ,0753,0753-01-01/0753-12-31
-###,-JJJ,-200,-200,-0###,-0JJJ,-0200,-0199-01-01/-0199-12-31
"### MM",JJJ MM,753 Juni,753 MM,0###-##,0JJJ-MM,0753-06,0753-06-01/0753-06-30
"### MM #",JJJ MM T,816 Mai 2,816 MM 2,0###-##-0#,0JJJ-MM-0T,0816-05-02,0816-05-02/0816-05-02
"### MM # - ### MM ##",JJJ MM T - ZZZ YY XX,840 Mai 6 - 912 April 12,840 MM 6 - 912 MM 12,0###-##-0#/0###-##-##,0JJJ-MM-0T/0ZZZ-YY-XX,0840-05-06/0912-04-12,0840-05-06/0912-04-12
"### MM ##",JJJ MM TT,774 September 24,774 MM 24,0###-##-##,0JJJ-MM-TT,0774-09-24,0774-09-24/0774-09-24
"### MM [vor ##]",JJJ MM [vor TT],760 Juni [vor 10],760 MM [vor 10],vor 0###-##-##,vor 0JJJ-MM-TT,vor 0760-06-10,0660-06-10/0760-06-09
"####-",JJJJ-,1858-,1858-,ab ####,ab JJJJ,ab 1858,1858-01-01/1868-12-31
"#### -",JJJJ -,2009 -,2009 -,ab ####,ab JJJJ,ab 2009,2009-01-01/2010-12-31
"#### - #",JJJJ - N,1848 - 9,1848 - 9,"####",JJJJ,1848,1848-01-01/1848-12-31
"#### - ##",JJJJ - ZZ,1856 - 57,1856 - 57,"####",JJJJ,1856,1856-01-01/1856-12-31
"#### - ## - ##",JJJJ - ZZ - VV,1846 - 47 - 57,1846 - 47 - 57,"####",JJJJ,1846,1846-01-01/1846-12-31
"#### - ####",JJJJ - ZZZZ,1746 - 1751,1746 - 1751,"####/####",JJJJ/ZZZZ,1746/1751,1746-01-01/1751-12-31
"#### ? ####",JJJJ ? ZZZZ,1946 ? 1950,1946 ? 1950,"####/####",JJJJ/ZZZZ,1946/1950,1946-01-01/1950-12-31
"#### ? ####, ####","JJJJ ? ZZZZ, XXXX","1947 ? 1948, 1949","1947 ? 1948, 1949","####/####",JJJJ/XXXX,1947/1949,1947-01-01/1949-12-31
"#### - ##. ####",JJJJ - NN. ZZZZ,1851 - 52. 1853,1851 - 52. 1853,"####/####",JJJJ/ZZZZ,1851/1853,1851-01-01/1853-12-31
"#### ####",JJJJ ZZZZ,1282 1865,1282 1865,"####",JJJJ,1282,1282-01-01/1282-12-31
"#### (####)",JJJJ (ZZZZ),1765 (1780),1765 (1780),"####",JJJJ,1765,1765-01-01/1765-12-31
"#### (####/##) Aufnahme",JJJJ (ZZZZ/YY) Aufnahme,1375 (1996/97) Aufnahme,1375 (1996/97) Aufnahme,"####/####",ZZZZ/ZZYY,1996/1997,1996-01-01/1997-12-31
"#### (####/##) Erstausgabe",JJJJ (ZZZZ/YY) Erstausgabe,1376 (1997/98) Erstausgabe,1376 (1997/98) Erstausgabe,"####/####",ZZZZ/ZZYY,1997/1998,1997-01-01/1998-12-31
"#### (####/##) Erstdruck",JJJJ (ZZZZ/YY) Erstdruck,1374 (1995/96) Erstdruck,1374 (1995/96) Erstdruck,"####/####",ZZZZ/ZZYY,1995/1996,1995-01-01/1996-12-31
"#### (####a)",JJJJ (ZZZZa),1765 (1765a),1765 (1765a),"####",JJJJ,1765,1765-01-01/1765-12-31
"#### (####c)",JJJJ (ZZZZc),1750 (1750c),1750 (1750c),"####",JJJJ,1750,1750-01-01/1750-12-31
"#### (##.#.####)",ZZZZ (TT.M.JJJJ),1913 (25.9.1913),1913 (25.9.1913),"####-0#-##",JJJJ-0M-TT,1913-09-25,1913-09-25/1913-09-25
"#### (?)",JJJJ (?),1963 (?),1963 (?),ca. ####,ca. JJJJ,ca. 1963,1962-01-01/1964-12-31
"#### (ca.)",JJJJ (ca.),1975 (ca.),1975 (ca.),ca. ####,ca. JJJJ,ca. 1975,1974-01-01/1976-12-31
"#### (nach)",JJJJ (nach),1945 (nach),1945 (nach),nach ####,nach JJJJ,nach 1945,1945-01-01/1970-12-31
"#### (Nachtr. ####)",JJJJ (Nachtr. ZZZZ),1980 (Nachtr. 1988),1980 (Nachtr. 1988),"####",JJJJ,1980,1980-01-01/1980-12-31
"#### (Nachtrag ####/##)",JJJJ (Nachtrag ZZZZ/XX),1982 (Nachtrag 1985/87),1982 (Nachtrag 1985/87),"####",JJJJ,1982,1982-01-01/1982-12-31
"#### (Original)",JJJJ (Original),1728 (Original),1728 (Original),"####",JJJJ,1728,1728-01-01/1728-12-31
"#### (um)",JJJJ (um),1900 (um),1900 (um),um ####,um JJJJ,um 1900,1899-01-01/1901-12-31
"#### (vor)",JJJJ (vor),1945 (vor),1945 (vor),vor ####,vor JJJJ,vor 1945,1942-01-01/1944-12-31
"#### / #### (?)",JJJJ / ZZZZ (?),1911 / 1914 (?),1911 / 1914 (?),"####,####","JJJJ,ZZZZ","1911,1914",
"#### [### H]",JJJJ [ZZZ H],1468 [873 H],1468 [873 H],"####",JJJJ,1468,1468-01-01/1468-12-31
"#### [####]",ZZZZ [JJJJ],5792 [1792],5792 [1792],"####",JJJJ,1792,1792-01-01/1792-12-31
"#### [erschienen ####]",JJJJ [erschienen ZZZZ],1602 [erschienen 1615],1602 [erschienen 1615],"####",JJJJ,1602,1602-01-01/1602-12-31
"#### [erschienen ca. ####]",JJJJ [erschienen ca. ZZZZ],1766 [erschienen ca. 1770],1766 [erschienen ca. 1770],"####",JJJJ,1766,1766-01-01/1766-12-31
"#### [erschienen] ####",JJJJ [erschienen] ZZZZ,1706 [erschienen] 1707,1706 [erschienen] 1707,"####",JJJJ,1706,1706-01-01/1706-12-31
"#### [i. e. ####]",ZZZZ [i. e. JJJJ],1496 [i. e. 1796],1496 [i. e. 1796],"####",JJJJ,1796,1796-01-01/1796-12-31
"#### [i.e. ####]",JJJJ [i.e. ZZZZ],1853 [i.e. 1753],1853 [i.e. 1753],"####",ZZZZ,1753,1753-01-01/1753-12-31
"#### [nach ##.##.]",JJJJ [nach MM.TT.],1470 [nach 08.30.],1470 [nach 08.30.],nach ####-##-##,nach JJJJ-MM-TT,nach 1470-08-30,1470-08-30/1495-08-30
"#### [nicht nach ##.##.]",JJJJ [nicht nach MM.TT.],1473 [nicht nach 07.28.],1473 [nicht nach 07.28.],vor ####-##-##,vor JJJJ-MM-TT,vor 1473-07-28,1423-07-28/1473-07-27
"#### = ### [jüd. Zeit]",JJJJ = ZZZ [jüd. Zeit],1769 = 529 [jüd. Zeit],1769 = 529 [jüd. Zeit],"####",JJJJ,1769,1769-01-01/1769-12-31
"#### = ####",JJJJ = ZZZZ,1836 = 1252,1836 = 1252,"####",JJJJ,1836,1836-01-01/1836-12-31
"#### = #### [jüd. Zeit]",JJJJ = ZZZZ [jüd. Zeit],1800 = 5560 [jüd. Zeit],1800 = 5560 [jüd. Zeit],"####",JJJJ,1800,1800-01-01/1800-12-31
"#### = #### h.",JJJJ = ZZZZ h.,1836 = 1252 h.,1836 = 1252 h.,"####",JJJJ,1836,1836-01-01/1836-12-31
